PLAYER_ID,PLAYER,TEAM,GP,MIN,PTS,REB,AST,FGM,FGA,FG3M,FG3A,FTM,FTA,Month,Season,USG_Pct,AST_Pct,TS_Pct,PIE,TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,FRONT_CT_TOUCHES,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,Isolation_Freq,Transition_Freq,PnR_Handler_Freq,RollMan_Freq,PostUp_Freq,SpotUp_Freq,Handoff_Freq,Cut_Freq,OffScreen_Freq,Putbacks_Freq,DFG_Rim_Pct,FGM_Pct_UAST,FGM_AST_Pct,Unassisted_FG_Pct,ThreePt_Rate,MPG,Height,Weight,Height_Inches
1630178,Tyrese Maxey,PHI,5,43.1,35.2,4.6,9.4,10.8,23.4,4.4,9.4,9.2,10.6,october,2025-26,29.2,35.3,62.7,16.8,109.2,7.6,4.17,47.4,0.2,0.0,0.2,14.5,21.9,26.2,1.3,1.4,14.3,6.7,3.0,5.4,,57.1,53.7,46.3,53.7,40.17094017094017,43.1,6-2,200.0,74
1628983,Shai Gilgeous-Alexander,OKC,6,36.9,34.2,5.7,5.7,12.3,23.7,1.7,6.0,7.8,9.0,october,2025-26,34.2,28.8,61.8,21.3,79.7,7.9,5.97,28.7,1.3,1.7,1.0,26.3,14.1,37.3,,4.7,6.2,2.1,3.3,1.6,,60.7,83.8,16.2,83.8,25.31645569620253,36.9,6-6,195.0,78
1628374,Lauri Markkanen,UTA,5,37.5,33.8,6.6,2.2,10.8,21.4,4.0,10.2,8.2,9.4,october,2025-26,27.7,10.7,66.2,17.8,59.6,2.0,2.02,39.0,2.8,1.2,6.8,4.0,15.6,3.0,8.3,5.7,12.8,7.5,10.6,20.7,7.0,57.7,18.5,81.5,18.5,47.66355140186916,37.5,7-1,240.0,85
1630559,Austin Reaves,LAL,6,37.8,32.0,5.3,9.0,9.5,18.8,2.8,7.8,10.2,11.2,october,2025-26,29.9,36.2,67.4,19.1,89.3,7.5,5.05,35.0,0.3,0.0,0.7,13.5,15.8,35.6,,,14.0,5.6,,5.6,,59.3,59.6,40.4,59.6,41.48936170212766,37.8,6-5,197.0,77
1628973,Jalen Brunson,NYK,5,34.8,31.2,3.6,5.4,11.0,22.8,2.6,8.0,6.6,8.0,october,2025-26,32.9,29.3,59.3,15.0,99.6,7.8,4.71,40.8,0.6,1.0,1.0,14.4,14.3,36.0,,3.3,16.4,5.6,1.9,2.5,,61.1,67.3,32.7,67.3,35.08771929824561,34.8,6-2,190.0,74
1626164,Devin Booker,PHX,6,36.7,30.3,4.3,6.5,9.8,20.0,3.2,7.3,7.5,9.2,october,2025-26,30.2,30.5,63.1,14.7,75.8,5.1,4.07,46.3,1.3,1.3,2.8,14.0,15.7,33.1,1.8,3.8,9.5,7.5,1.6,7.5,1.7,58.1,49.2,50.8,49.2,36.5,36.7,6-5,206.0,77
1641705,Victor Wembanyama,SAS,5,33.8,30.2,14.6,3.4,10.8,19.2,1.0,3.2,7.6,9.6,october,2025-26,31.8,18.5,64.5,28.0,73.0,3.3,2.69,47.8,5.6,5.0,7.6,14.5,16.8,6.7,8.2,11.7,13.5,2.6,8.6,7.5,6.1,51.6,44.4,55.6,44.4,16.666666666666668,33.8,7-4,235.0,88
203897,Zach LaVine,SAC,5,36.6,29.2,3.0,1.6,10.6,19.6,3.2,8.4,4.8,5.0,october,2025-26,27.6,7.5,67.0,12.9,66.8,3.2,2.92,39.0,0.2,0.2,1.4,9.3,23.5,19.5,4.0,,22.7,6.3,3.4,8.5,,75.0,26.4,73.6,26.4,42.857142857142854,36.6,6-5,200.0,77
1628378,Donovan Mitchell,CLE,5,33.1,28.0,2.4,4.4,9.8,18.0,3.2,8.0,5.2,7.0,october,2025-26,30.0,23.2,66.4,15.5,69.8,5.3,4.59,30.2,0.8,0.0,0.6,11.4,22.8,34.1,1.5,,11.4,6.9,1.9,3.8,1.6,58.3,67.3,32.7,67.3,44.44444444444444,33.1,6-2,215.0,74
1627759,Jaylen Brown,BOS,6,32.5,27.7,5.2,4.2,10.0,18.2,3.2,6.5,4.5,6.0,october,2025-26,31.9,21.7,66.5,15.5,64.5,4.1,3.83,33.8,0.8,1.7,1.3,20.6,20.4,22.2,1.8,4.7,13.0,4.1,1.1,7.4,1.8,55.6,56.7,43.3,56.7,35.714285714285715,32.5,6-6,223.0,78
201939,Stephen Curry,GSW,6,31.1,27.0,4.2,4.8,8.7,17.7,4.3,10.3,5.3,5.5,october,2025-26,29.5,24.4,67.2,16.7,63.8,4.7,4.37,24.3,0.7,0.0,0.8,10.1,13.8,21.1,,,11.6,12.0,7.0,18.0,1.3,60.0,34.6,65.4,34.6,58.192090395480236,31.1,6-2,185.0,74
203944,Julius Randle,MIN,5,35.1,26.6,6.4,5.4,9.0,16.4,2.6,5.6,6.0,7.4,october,2025-26,26.1,25.0,67.7,16.5,66.8,3.9,3.5,41.0,1.0,2.6,1.6,15.8,16.5,9.4,7.3,10.1,21.1,2.4,5.0,3.2,5.4,55.6,55.6,44.4,55.6,34.146341463414636,35.1,6-9,250.0,81
1627750,Jamal Murray,DEN,5,33.7,26.0,4.6,5.4,9.8,19.0,2.6,6.6,3.8,4.0,october,2025-26,28.5,24.5,62.6,16.3,64.4,6.5,6.07,26.6,1.2,0.0,1.0,14.6,13.0,35.4,,2.9,8.6,11.5,3.8,4.0,,66.7,63.3,36.7,63.3,34.73684210526316,33.7,6-4,215.0,76
1627783,Pascal Siakam,IND,5,34.6,24.6,9.8,5.2,8.4,19.8,2.4,6.0,5.4,9.6,october,2025-26,29.1,26.8,51.2,15.2,81.0,4.4,3.25,43.2,2.2,1.8,2.4,13.3,20.6,13.9,6.5,11.3,16.2,3.0,3.2,4.0,5.0,62.5,61.9,38.1,61.9,30.303030303030305,34.6,6-8,245.0,80
1630163,LaMelo Ball,CHA,5,33.3,24.4,8.0,10.2,8.4,19.0,3.6,10.4,4.0,5.0,october,2025-26,29.7,42.5,57.5,15.6,88.0,6.2,4.24,37.2,1.4,0.0,2.0,12.2,12.8,39.4,1.6,,19.4,6.5,,1.7,2.0,68.0,61.9,38.1,61.9,54.736842105263165,33.3,6-7,180.0,79
