PLAYER_ID,PLAYER,TEAM,Season,Month,Archetype,Category,USG_Pct,AST_Pct,ThreePt_Rate,Height_Inches,GP,MPG,PTS
1629661,Cameron Johnson,BKN,2024-25,october,Role Player,Role,17.1,12.3,71.66666666666667,80,5,34.2,14.6
1628381,John Collins,UTA,2024-25,october,Role Player,Role,28.6,19.6,26.5625,81,5,22.4,14.6
1630169,Tyrese Haliburton,IND,2024-25,october,Role Player,Role,21.9,28.9,56.41025641025642,77,5,34.6,14.6
1629028,Deandre Ayton,POR,2024-25,october,Rim Runner,Big,19.0,6.7,8.955223880597014,84,5,32.5,14.4
1629012,Collin Sexton,UTA,2024-25,october,Secondary Ball Handler,Secondary,25.3,15.9,20.0,75,5,23.2,14.2
1630583,Santi Aldama,MEM,2024-25,october,Stretch Big,Big,18.1,14.8,45.63106796116504,84,6,28.6,13.8
1627751,Jakob Poeltl,TOR,2024-25,october,Rim Runner,Big,18.1,9.8,0.0,84,5,31.8,13.8
203501,Tim Hardaway Jr.,DET,2024-25,october,Movement Shooter,Shooter,14.2,7.8,73.17073170731709,77,5,30.6,13.6
1641718,Keyonte George,UTA,2024-25,october,Secondary Ball Handler,Secondary,26.0,34.8,53.333333333333336,76,5,31.6,13.2
203903,Jordan Clarkson,UTA,2024-25,october,Role Player,Role,26.0,28.3,44.06779661016949,75,5,24.5,13.0
1627832,Fred VanVleet,HOU,2024-25,october,Role Player,Role,16.6,23.6,68.18181818181819,72,5,37.4,12.6
201950,Jrue Holiday,BOS,2024-25,october,Role Player,Role,15.4,15.1,51.28205128205129,76,5,29.3,12.2
1628415,Dillon Brooks,HOU,2024-25,october,Role Player,Role,14.1,2.5,53.703703703703695,78,5,35.1,12.0
1631095,Jabari Smith Jr.,HOU,2024-25,october,Stretch Big,Big,15.3,7.2,43.75000000000001,82,5,31.7,12.0
1627747,Caris LeVert,ATL,2024-25,october,Role Player,Role,15.9,20.2,43.74999999999999,78,5,21.5,11.8
1627884,Derrick Jones Jr.,LAC,2024-25,october,3&D Wing,Wing,15.1,5.6,35.55555555555556,78,5,29.6,11.8
1630534,Ochai Agbaji,TOR,2024-25,october,Role Player,Role,14.2,7.5,35.0,77,5,27.9,11.8
1627736,Malik Beasley,DET,2024-25,october,Role Player,Role,21.4,8.2,64.91228070175438,76,5,24.3,11.6
202699,Tobias Harris,DET,2024-25,october,Role Player,Role,17.9,8.6,32.25806451612903,80,5,34.8,11.6
1630533,Ziaire Williams,BKN,2024-25,october,3&D Wing,Wing,19.6,13.6,41.02564102564103,81,5,19.8,11.6
201572,Brook Lopez,MIL,2024-25,october,Stretch Big,Big,18.0,7.4,51.92307692307693,85,5,29.9,11.4
1630228,Jonathan Kuminga,GSW,2024-25,october,Secondary Ball Handler,Secondary,23.9,10.0,26.53061224489796,79,5,22.9,11.4
1630167,Obi Toppin,IND,2024-25,october,Role Player,Role,17.5,13.7,43.24324324324324,81,5,21.3,11.4
1626171,Bobby Portis,MIL,2024-25,october,Anchor Big,Big,21.1,8.2,26.41509433962264,82,5,25.0,11.2
203084,Harrison Barnes,SAS,2024-25,october,3&D Wing,Wing,13.5,4.5,40.54054054054054,80,5,28.0,11.2
101108,Chris Paul,SAS,2024-25,october,Role Player,Role,15.7,40.6,58.53658536585367,72,5,28.5,11.0
1629021,Moritz Wagner,ORL,2024-25,october,Rim Runner,Big,26.8,9.8,35.294117647058826,83,5,15.1,11.0
1630541,Moses Moody,GSW,2024-25,october,Movement Shooter,Shooter,21.6,10.8,65.85365853658539,77,5,18.6,11.0
1630590,Scotty Pippen Jr.,MEM,2024-25,october,Role Player,Role,18.1,36.5,32.05128205128205,73,6,24.4,10.8
1626156,D'Angelo Russell,BKN,2024-25,october,Role Player,Role,16.0,24.6,57.14285714285714,75,5,30.7,10.8
1626220,Royce O'Neale,PHX,2024-25,october,3&D Wing,Wing,14.1,15.9,63.63636363636365,78,5,26.4,10.4
1641764,Brandin Podziemski,GSW,2024-25,october,Role Player,Role,19.6,17.4,48.333333333333336,76,5,29.2,10.2
1629640,Keldon Johnson,SAS,2024-25,october,Role Player,Role,19.0,4.7,42.30769230769231,77,5,27.5,10.2
1629023,P.J. Washington,DAL,2024-25,october,Role Player,Role,14.6,6.7,47.05882352941176,78,5,32.9,10.2
1630166,Deni Avdija,POR,2024-25,october,Role Player,Role,19.5,13.6,39.130434782608695,81,5,28.5,10.0
1627827,Dorian Finney-Smith,LAL,2024-25,october,Role Player,Role,17.5,10.8,65.95744680851064,79,5,29.1,10.0
1629018,Gary Trent Jr.,MIL,2024-25,october,3&D Wing,Wing,13.8,4.4,69.04761904761905,77,5,30.4,9.8
1631218,Trayce Jackson-Davis,GSW,2024-25,october,Role Player,Role,14.7,16.2,0.0,81,5,18.9,9.6
1630643,Jay Huff,MEM,2024-25,october,Stretch Big,Big,15.4,5.9,57.89473684210525,85,6,17.0,9.5
1642377,Jaylen Wells,MEM,2024-25,october,Role Player,Role,18.5,10.3,50.0,80,6,23.0,9.5
1642346,Ryan Dunn,PHX,2024-25,october,Role Player,Role,16.4,4.8,71.42857142857143,80,5,18.6,9.4
1626145,Tyus Jones,PHX,2024-25,october,3&D Wing,Wing,12.5,31.3,48.78048780487806,73,5,32.4,9.4
201143,Al Horford,BOS,2024-25,october,Role Player,Role,11.1,8.8,66.66666666666666,81,5,24.9,9.2
203991,Clint Capela,ATL,2024-25,october,Rim Runner,Big,14.1,7.5,0.0,82,5,22.3,9.2
203994,Jusuf Nurkić,CHA,2024-25,october,Anchor Big,Big,25.6,12.5,38.235294117647065,84,5,21.9,9.2
1642258,Zaccharie Risacher,ATL,2024-25,october,Role Player,Role,18.7,7.4,43.75000000000001,80,5,25.0,9.2
1629655,Daniel Gafford,DAL,2024-25,october,Anchor Big,Big,16.1,12.9,0.0,82,5,18.6,9.0
1641726,Dereck Lively II,DAL,2024-25,october,Anchor Big,Big,13.3,17.5,0.0,85,5,23.5,9.0
1641744,Zach Edey,MEM,2024-25,october,Post Scorer,Big,18.4,2.9,6.944444444444445,88,6,17.7,9.0
1630577,Julian Champagnie,SAS,2024-25,october,3&D Wing,Wing,16.0,6.9,58.97435897435898,79,5,25.2,8.8
1628976,Wendell Carter Jr.,ORL,2024-25,october,Stretch Big,Big,12.3,10.3,42.42424242424242,82,5,29.8,8.8
1630174,Aaron Nesmith,IND,2024-25,october,Role Player,Role,14.5,5.3,29.03225806451613,78,5,25.2,8.6
1628449,Chris Boucher,TOR,2024-25,october,Role Player,Role,20.3,4.8,50.0,81,5,17.1,8.6
1630558,Davion Mitchell,MIA,2024-25,october,Role Player,Role,17.3,30.4,46.34146341463415,72,5,27.3,8.6
