PLAYER_ID,PLAYER,TEAM,Season,Month,Archetype,Category,USG_Pct,AST_Pct,ThreePt_Rate,Height_Inches,GP,MPG,PTS
201142,Kevin Durant,PHX,2023-24,november,Versatile Big,Big,32.1,28.0,24.28571428571428,83,12,37.2,32.7
203954,Joel Embiid,PHI,2023-24,november,Versatile Big,Big,35.4,33.1,15.121951219512194,84,13,34.7,32.2
1628983,Shai Gilgeous-Alexander,OKC,2023-24,november,Primary Initiator,Primary,31.8,29.9,16.99029126213592,78,13,34.6,32.1
1628368,De'Aaron Fox,SAC,2023-24,november,Primary Initiator,Primary,30.6,26.8,39.90825688073394,75,9,36.5,30.4
203507,Giannis Antetokounmpo,MIL,2023-24,november,Versatile Big,Big,33.0,25.4,9.473684210526317,83,15,34.6,30.3
203999,Nikola Jokić,DEN,2023-24,november,Versatile Big,Big,33.6,46.3,21.153846153846153,83,14,33.7,29.7
1629029,Luka Dončić,DAL,2023-24,november,Primary Initiator,Primary,34.2,37.4,42.129629629629626,79,14,34.9,29.4
1630169,Tyrese Haliburton,IND,2023-24,november,Role Player,Role,26.5,44.6,50.54945054945055,77,13,34.4,28.6
1629027,Trae Young,ATL,2023-24,november,Primary Initiator,Primary,29.9,43.3,44.44444444444445,73,13,36.4,28.5
201939,Stephen Curry,GSW,2023-24,november,Primary Initiator,Primary,30.9,22.4,62.03208556149733,74,13,33.7,28.2
1628369,Jayson Tatum,BOS,2023-24,november,Role Player,Role,29.2,17.4,45.07772020725388,80,15,37.2,27.3
1630163,LaMelo Ball,CHA,2023-24,november,Primary Initiator,Primary,31.3,38.1,43.39622641509433,79,12,34.6,27.3
1626164,Devin Booker,PHX,2023-24,november,Primary Initiator,Primary,32.2,41.0,24.86772486772487,78,9,33.5,26.8
1628973,Jalen Brunson,NYK,2023-24,november,Secondary Ball Handler,Secondary,26.1,26.6,35.93750000000001,74,14,36.4,26.6
1628378,Donovan Mitchell,CLE,2023-24,november,Primary Initiator,Primary,30.1,22.9,42.028985507246375,75,11,35.7,26.5
1630162,Anthony Edwards,MIN,2023-24,november,Secondary Ball Handler,Secondary,31.8,23.0,34.183673469387756,76,14,34.8,26.4
1630178,Tyrese Maxey,PHI,2023-24,november,Secondary Ball Handler,Secondary,25.5,25.9,40.487804878048784,74,15,38.4,26.3
203081,Damian Lillard,MIL,2023-24,november,Role Player,Role,28.0,31.2,48.29545454545454,74,14,35.0,26.0
2544,LeBron James,LAL,2023-24,november,Role Player,Role,29.0,29.8,35.54216867469879,81,15,33.3,25.6
202681,Kyrie Irving,DAL,2023-24,november,Role Player,Role,28.3,25.6,37.823834196891184,74,12,32.8,25.4
203924,Jerami Grant,POR,2023-24,november,Role Player,Role,26.6,12.2,37.078651685393254,79,14,36.2,24.6
1629627,Zion Williamson,NOP,2023-24,november,Role Player,Role,28.9,26.3,1.7857142857142856,78,12,32.4,24.5
1627742,Brandon Ingram,NOP,2023-24,november,Role Player,Role,29.3,24.7,24.479166666666668,80,14,33.9,24.2
1630560,Cam Thomas,BKN,2023-24,november,Secondary Ball Handler,Secondary,31.5,10.4,34.883720930232556,75,6,31.3,23.7
1628398,Kyle Kuzma,WAS,2023-24,november,Role Player,Role,31.6,26.6,33.33333333333333,81,15,31.3,23.6
202710,Jimmy Butler III,MIA,2023-24,november,Role Player,Role,25.9,18.3,22.75862068965517,79,12,33.9,23.3
1628374,Lauri Markkanen,UTA,2023-24,november,Stretch Big,Big,23.1,3.0,50.31055900621118,84,11,34.5,23.3
1626157,Karl-Anthony Towns,MIN,2023-24,november,Rim Runner,Big,26.6,14.3,32.02614379084967,84,15,33.4,23.1
1630595,Cade Cunningham,DET,2023-24,november,Primary Initiator,Primary,30.6,31.3,29.20792079207921,78,15,35.3,22.7
202695,Kawhi Leonard,LAC,2023-24,november,Secondary Ball Handler,Secondary,25.3,13.7,30.28571428571428,79,14,34.9,22.6
1626179,Terry Rozier,MIA,2023-24,november,Role Player,Role,26.2,27.3,29.670329670329675,73,5,35.8,22.6
1630217,Desmond Bane,MEM,2023-24,november,Secondary Ball Handler,Secondary,28.3,28.3,47.916666666666664,77,13,34.0,22.5
202331,Paul George,LAC,2023-24,november,Role Player,Role,26.7,16.8,46.23655913978494,80,14,36.3,22.3
1628389,Bam Adebayo,MIA,2023-24,november,Role Player,Role,27.0,21.6,1.2820512820512822,81,13,33.6,22.2
203944,Julius Randle,NYK,2023-24,november,Role Player,Role,28.6,24.6,32.59668508287293,80,14,35.4,22.0
1628969,Mikal Bridges,BKN,2023-24,november,Role Player,Role,26.0,18.6,35.59322033898305,78,15,34.8,22.0
203076,Anthony Davis,LAL,2023-24,november,Rim Runner,Big,24.3,14.6,2.054794520547945,82,15,34.1,21.8
1630578,Alperen Sengun,HOU,2023-24,november,Versatile Big,Big,28.0,25.8,16.025641025641026,83,13,32.3,21.4
1627759,Jaylen Brown,BOS,2023-24,november,Secondary Ball Handler,Secondary,28.3,18.1,38.46153846153847,78,14,34.5,21.3
1627783,Pascal Siakam,IND,2023-24,november,Role Player,Role,26.3,23.7,22.560975609756103,80,15,33.7,21.0
1631094,Paolo Banchero,ORL,2023-24,november,Versatile Big,Big,26.4,20.6,21.710526315789476,82,14,33.6,20.9
201942,DeMar DeRozan,CHI,2023-24,november,Role Player,Role,24.8,23.6,16.149068322981368,78,14,35.2,20.8
1630532,Franz Wagner,ORL,2023-24,november,Rim Runner,Big,25.1,16.5,27.2189349112426,82,14,32.7,20.8
1628970,Miles Bridges,CHA,2023-24,november,Role Player,Role,20.7,10.6,30.76923076923077,79,7,36.4,20.3
1641705,Victor Wembanyama,SAS,2023-24,november,Anchor Big,Big,28.9,14.3,31.428571428571427,88,14,30.8,20.1
1630224,Jalen Green,HOU,2023-24,november,Role Player,Role,26.9,18.1,45.945945945945944,76,13,31.1,20.0
203897,Zach LaVine,CHI,2023-24,november,Role Player,Role,23.5,17.6,42.94871794871795,77,14,35.7,20.0
1628991,Jaren Jackson Jr.,MEM,2023-24,november,Rim Runner,Big,28.8,9.1,31.70731707317074,82,13,31.3,19.7
203903,Jordan Clarkson,UTA,2023-24,november,Role Player,Role,27.1,24.4,37.125748502994014,75,13,32.0,19.5
1627749,Dejounte Murray,ATL,2023-24,november,Role Player,Role,23.8,21.6,38.55421686746987,77,14,34.2,19.4
1629636,Darius Garland,CLE,2023-24,november,Secondary Ball Handler,Secondary,26.6,26.4,31.081081081081074,73,13,33.4,19.4
1629008,Michael Porter Jr.,DEN,2023-24,november,Stretch Big,Big,21.6,6.3,54.966887417218544,82,15,32.7,19.0
1627734,Domantas Sabonis,SAC,2023-24,november,Versatile Big,Big,22.2,32.7,9.090909090909092,82,14,35.2,18.9
1631096,Chet Holmgren,OKC,2023-24,november,Anchor Big,Big,22.5,13.0,34.10852713178294,85,14,31.0,18.8
1630567,Scottie Barnes,TOR,2023-24,november,Role Player,Role,22.8,23.7,34.64052287581699,79,15,34.0,18.7
204001,Kristaps Porziņģis,BOS,2023-24,november,Stretch Big,Big,22.1,10.1,40.33613445378151,86,12,30.1,18.5
1630170,Devin Vassell,SAS,2023-24,november,Role Player,Role,23.7,19.0,53.07692307692308,77,9,25.4,18.0
202699,Tobias Harris,PHI,2023-24,november,Role Player,Role,20.1,11.4,24.087591240875913,80,15,34.7,17.9
1631114,Jalen Williams,OKC,2023-24,november,Secondary Ball Handler,Secondary,20.8,14.8,22.22222222222222,77,11,33.4,17.9
1629628,RJ Barrett,TOR,2023-24,november,Role Player,Role,26.9,12.1,35.46099290780142,78,9,28.7,17.9
1626156,D'Angelo Russell,LAL,2023-24,november,Secondary Ball Handler,Secondary,22.9,30.2,40.6015037593985,75,16,29.8,17.6
1629673,Jordan Poole,WAS,2023-24,november,Secondary Ball Handler,Secondary,27.3,18.0,43.046357615894046,76,14,29.3,17.1
1631101,Shaedon Sharpe,POR,2023-24,november,Secondary Ball Handler,Secondary,22.7,15.0,37.24137931034483,77,14,36.8,17.1
1627763,Malcolm Brogdon,POR,2023-24,november,Role Player,Role,26.6,41.6,33.78378378378378,76,9,29.2,17.0
203992,Bogdan Bogdanović,ATL,2023-24,november,Secondary Ball Handler,Secondary,22.0,10.2,61.832061068702295,77,14,27.3,16.9
1629640,Keldon Johnson,SAS,2023-24,november,Role Player,Role,19.3,18.0,41.66666666666667,77,13,33.3,16.8
1630596,Evan Mobley,CLE,2023-24,november,Anchor Big,Big,19.5,13.8,5.084745762711864,83,15,33.5,16.7
203471,Dennis Schröder,BKN,2023-24,november,Secondary Ball Handler,Secondary,22.2,29.2,37.121212121212125,73,15,30.7,16.7
1626167,Myles Turner,IND,2023-24,november,Rim Runner,Big,23.3,6.4,34.7457627118644,83,14,26.3,16.5
202696,Nikola Vučević,CHI,2023-24,november,Rim Runner,Big,22.9,16.4,24.18300653594771,82,16,34.3,16.5
1627832,Fred VanVleet,HOU,2023-24,november,Role Player,Role,18.6,35.7,60.14492753623188,72,12,37.8,16.3
203501,Tim Hardaway Jr.,DAL,2023-24,november,Movement Shooter,Shooter,22.7,8.5,68.42105263157893,77,14,27.2,16.3
1630175,Cole Anthony,ORL,2023-24,november,Secondary Ball Handler,Secondary,24.5,23.5,36.607142857142854,74,14,26.9,15.7
